EncryptedID,Semester,GPA,TC qua,Acc
039f48a62adadbca078c0b54553d22c694c0c71721f51e1617223488ce66cc9b,5,3.34,19,84
039f48a62adadbca078c0b54553d22c694c0c71721f51e1617223488ce66cc9b,6,3.06,16,100
039f48a62adadbca078c0b54553d22c694c0c71721f51e1617223488ce66cc9b,7,3.34,16,120
039f48a62adadbca078c0b54553d22c694c0c71721f51e1617223488ce66cc9b,8,4.0,8,128
03a3ec1f0642a647fb27198ea551046a56c3dcde55126a83dd9ffd5ab01dcf38,1,1.17,8,8
03a3ec1f0642a647fb27198ea551046a56c3dcde55126a83dd9ffd5ab01dcf38,2,1.04,9,17
03a3ec1f0642a647fb27198ea551046a56c3dcde55126a83dd9ffd5ab01dcf38,3,1.54,12,33
03a3ec1f0642a647fb27198ea551046a56c3dcde55126a83dd9ffd5ab01dcf38,4,1.25,9,42
03a3ec1f0642a647fb27198ea551046a56c3dcde55126a83dd9ffd5ab01dcf38,5,1.23,13,57
03a3ec1f0642a647fb27198ea551046a56c3dcde55126a83dd9ffd5ab01dcf38,6,2.22,16,73
03a3ec1f0642a647fb27198ea551046a56c3dcde55126a83dd9ffd5ab01dcf38,7,2.12,16,92
03a3ec1f0642a647fb27198ea551046a56c3dcde55126a83dd9ffd5ab01dcf38,8,1.94,12,104
03a3ec1f0642a647fb27198ea551046a56c3dcde55126a83dd9ffd5ab01dcf38,9,2.66,19,117
03a3ec1f0642a647fb27198ea551046a56c3dcde55126a83dd9ffd5ab01dcf38,10,2.68,17,130
03a3ec1f0642a647fb27198ea551046a56c3dcde55126a83dd9ffd5ab01dcf38,11,2.38,21,142
03a3ec1f0642a647fb27198ea551046a56c3dcde55126a83dd9ffd5ab01dcf38,12,1.57,11,142
03a3ec1f0642a647fb27198ea551046a56c3dcde55126a83dd9ffd5ab01dcf38,13,3.14,14,156
03a98a7e0f4cc684ced1afda4c7418ebf92d96928987759e3d53e9a1236ba3de,1,1.75,12,12
03a98a7e0f4cc684ced1afda4c7418ebf92d96928987759e3d53e9a1236ba3de,2,2.36,11,23
03a98a7e0f4cc684ced1afda4c7418ebf92d96928987759e3d53e9a1236ba3de,3,3.14,18,41
03a98a7e0f4cc684ced1afda4c7418ebf92d96928987759e3d53e9a1236ba3de,4,3.4,20,61
03a98a7e0f4cc684ced1afda4c7418ebf92d96928987759e3d53e9a1236ba3de,5,3.63,19,85
03a98a7e0f4cc684ced1afda4c7418ebf92d96928987759e3d53e9a1236ba3de,6,3.67,18,103
03a98a7e0f4cc684ced1afda4c7418ebf92d96928987759e3d53e9a1236ba3de,7,3.66,16,119
03a98a7e0f4cc684ced1afda4c7418ebf92d96928987759e3d53e9a1236ba3de,8,3.62,20,139
03a98a7e0f4cc684ced1afda4c7418ebf92d96928987759e3d53e9a1236ba3de,9,3.94,16,155
03f57b7b0f86d4fa32bbf316770611135922f93ee5fafdb5764a3401d5ca4b45,1,2.75,12,12
03f57b7b0f86d4fa32bbf316770611135922f93ee5fafdb5764a3401d5ca4b45,2,2.71,12,24
03f57b7b0f86d4fa32bbf316770611135922f93ee5fafdb5764a3401d5ca4b45,3,3.28,18,42
03f57b7b0f86d4fa32bbf316770611135922f93ee5fafdb5764a3401d5ca4b45,4,2.68,19,61
03f57b7b0f86d4fa32bbf316770611135922f93ee5fafdb5764a3401d5ca4b45,5,2.98,20,83
03f57b7b0f86d4fa32bbf316770611135922f93ee5fafdb5764a3401d5ca4b45,6,2.33,16,99
03f57b7b0f86d4fa32bbf316770611135922f93ee5fafdb5764a3401d5ca4b45,7,2.39,11,112
03f57b7b0f86d4fa32bbf316770611135922f93ee5fafdb5764a3401d5ca4b45,8,3.21,14,126
03f57b7b0f86d4fa32bbf316770611135922f93ee5fafdb5764a3401d5ca4b45,9,3.21,14,142
03f57b7b0f86d4fa32bbf316770611135922f93ee5fafdb5764a3401d5ca4b45,10,2.8,5,147
04181ff7b92e8e0cb3efd4e5ea78720ca8f04f2ffbce9db5e14ebf82fefdc26c,1,0.83,4,4
04181ff7b92e8e0cb3efd4e5ea78720ca8f04f2ffbce9db5e14ebf82fefdc26c,2,1.67,9,13
04181ff7b92e8e0cb3efd4e5ea78720ca8f04f2ffbce9db5e14ebf82fefdc26c,3,1.11,11,27
04181ff7b92e8e0cb3efd4e5ea78720ca8f04f2ffbce9db5e14ebf82fefdc26c,4,2.33,12,39
04181ff7b92e8e0cb3efd4e5ea78720ca8f04f2ffbce9db5e14ebf82fefdc26c,5,1.56,5,51
04181ff7b92e8e0cb3efd4e5ea78720ca8f04f2ffbce9db5e14ebf82fefdc26c,6,1.39,13,69
04181ff7b92e8e0cb3efd4e5ea78720ca8f04f2ffbce9db5e14ebf82fefdc26c,7,1.28,10,79
04181ff7b92e8e0cb3efd4e5ea78720ca8f04f2ffbce9db5e14ebf82fefdc26c,8,1.68,8,87
04181ff7b92e8e0cb3efd4e5ea78720ca8f04f2ffbce9db5e14ebf82fefdc26c,9,2.0,11,101
04181ff7b92e8e0cb3efd4e5ea78720ca8f04f2ffbce9db5e14ebf82fefdc26c,10,3.07,14,115
04181ff7b92e8e0cb3efd4e5ea78720ca8f04f2ffbce9db5e14ebf82fefdc26c,11,1.1,8,123
04f4bec86f411ec4b2d740b940b550fda1e3547107bda8ebac27187cdb7e994c,1,1.67,8,8
04f4bec86f411ec4b2d740b940b550fda1e3547107bda8ebac27187cdb7e994c,2,2.92,12,24
04f4bec86f411ec4b2d740b940b550fda1e3547107bda8ebac27187cdb7e994c,3,3.33,18,42
04f4bec86f411ec4b2d740b940b550fda1e3547107bda8ebac27187cdb7e994c,4,3.5,18,60
04f4bec86f411ec4b2d740b940b550fda1e3547107bda8ebac27187cdb7e994c,5,3.63,19,83
04f4bec86f411ec4b2d740b940b550fda1e3547107bda8ebac27187cdb7e994c,6,3.56,18,101
04f4bec86f411ec4b2d740b940b550fda1e3547107bda8ebac27187cdb7e994c,7,3.71,21,122
04f4bec86f411ec4b2d740b940b550fda1e3547107bda8ebac27187cdb7e994c,8,3.63,19,141
04f4bec86f411ec4b2d740b940b550fda1e3547107bda8ebac27187cdb7e994c,9,3.8,15,156
0502e85f2ba6a106e371e38bb6d2e37744c72211a9e0c154ea9228990c3adbc8,1,2.5,12,12
0502e85f2ba6a106e371e38bb6d2e37744c72211a9e0c154ea9228990c3adbc8,2,2.75,14,26
0502e85f2ba6a106e371e38bb6d2e37744c72211a9e0c154ea9228990c3adbc8,3,2.78,16,42
0502e85f2ba6a106e371e38bb6d2e37744c72211a9e0c154ea9228990c3adbc8,4,3.12,17,59
0502e85f2ba6a106e371e38bb6d2e37744c72211a9e0c154ea9228990c3adbc8,5,2.98,22,81
0502e85f2ba6a106e371e38bb6d2e37744c72211a9e0c154ea9228990c3adbc8,6,3.58,19,100
0502e85f2ba6a106e371e38bb6d2e37744c72211a9e0c154ea9228990c3adbc8,7,2.5,17,117
