EncryptedID,GPA_1,GPA_2,GPA_3,GPA_4,GPA_5,GPA_6,GPA_7,GPA_8,GPA_9,GPA_10,TC_1,TC_2,TC_3,TC_4,TC_5,TC_6,TC_7,TC_8,TC_9,TC_10,Final CPA
181a9a214d5875ad5672218f3ffc9b50d87eb64c9382daacc992ea5da6965231,3.58,3.65,3.24,3.65,3.34,3.4,3.5,3.61,4.0,4.0,12.0,13.0,19.0,17.0,22.0,21.0,18.0,18.0,3.0,9.0,3.52
1842a7f9db0885322968fed7ef7e933097598def5d2a74085c19d509d7dd6594,1.68,2.59,1.84,1.08,1.74,2.21,3.6,3.42,3.44,4.0,11.0,17.0,14.0,12.0,9.0,14.0,20.0,18.0,9.0,9.0,2.62
192eb343e1290ef394672f58a5900e6003461400287b87a137cf83cc0645db63,2.08,1.73,2.74,2.0,2.17,2.69,3.17,3.08,3.46,4.0,12.0,11.0,19.0,17.0,15.0,13.0,15.0,18.0,13.0,12.0,2.71
1934a4e1f02720f14809a75a7e33bdf4f16219cc3d365285b16e421eb71fce1a,2.25,2.5,2.39,2.5,1.93,3.36,2.58,3.48,3.91,4.0,12.0,11.0,22.0,14.0,18.0,18.0,13.0,23.0,11.0,9.0,2.85
19771f771c7c87f67a4338fd9ce46e0e6e3201db8c35be4be16624e955536b63,2.67,2.17,0.75,2.38,2.24,3.2,3.15,3.12,3.42,4.0,12.0,12.0,9.0,17.0,16.0,23.0,20.0,15.0,12.0,9.0,2.77
1a28e8c97b50a9768d4b4d4aa39df062d68916a4907d6fd1366c750c703085ce,2.0,2.54,1.94,2.91,2.96,2.64,3.16,3.07,3.83,4.0,12.0,13.0,14.0,23.0,23.0,15.0,22.0,14.0,6.0,9.0,2.85
1acf444f49b42ba383c550d9570ed7607423d2d70acfda19803d393b7698f41f,3.0,3.0,3.35,3.21,3.0,3.79,3.38,3.81,3.82,4.0,12.0,12.0,17.0,17.0,21.0,21.0,17.0,16.0,11.0,9.0,3.42
1c52803962729885ab730f278b7d43c7361c6d4a4eabc74a3a415c2d4c68b07d,2.08,1.75,2.24,2.78,2.88,3.11,2.97,3.08,4.0,4.0,12.0,7.0,17.0,20.0,20.0,22.0,17.0,13.0,9.0,9.0,2.87
1ca436de0eacd4a7008d305abf6416212158b77be7bc7c924bf87c8b6a40c156,1.5,0.95,1.34,1.21,1.21,1.94,3.07,2.69,3.44,3.2,10.0,8.0,19.0,11.0,11.0,12.0,22.0,19.0,18.0,12.0,2.23
1d212f307a50d3702b8182d5dacbb9dc0ff01d1276724c023a7591bf427485b1,2.83,2.5,2.34,1.88,2.17,3.19,2.9,3.38,3.75,4.0,12.0,11.0,22.0,14.0,15.0,21.0,21.0,16.0,12.0,9.0,2.84
1d5f248614b7af0813ac5a3ae84aa2cd70d7d39544660a6c892ae6f2bc27da28,3.17,2.64,2.91,2.94,3.02,3.67,3.23,3.8,3.75,4.0,12.0,11.0,22.0,16.0,20.0,18.0,15.0,20.0,8.0,9.0,3.28
1d7f5aff186cef1aa12c38bd98ac081af3242d5ea8d0527a7ff260b9f86385d1,1.83,1.68,2.32,2.29,2.24,2.75,2.83,3.03,3.38,4.0,8.0,11.0,22.0,11.0,14.0,19.0,23.0,19.0,13.0,12.0,2.68
1f7e36f443f5820970eb0d4b1f4bc32c6909a59ab4ccd5f83a480926c0c3f75e,1.58,3.23,3.25,2.03,1.17,2.79,2.47,3.61,3.36,3.5,8.0,11.0,22.0,16.0,12.0,21.0,19.0,18.0,14.0,9.0,2.77
2032047eb708fc0bd0a719174210627be0e341a2e42d8100df599437acaa9aa1,1.92,1.58,2.33,2.19,2.58,3.14,3.66,2.59,3.45,4.0,12.0,9.0,18.0,13.0,18.0,21.0,22.0,16.0,11.0,12.0,2.82
2097a5e37de9a515c249162fdffee73ea47f96e29965361a68c31c4c432fb6d3,3.0,3.05,3.29,3.41,3.4,3.19,3.5,3.42,3.5,4.0,12.0,11.0,19.0,16.0,20.0,21.0,10.0,12.0,16.0,9.0,3.35
20e972476163a84248b97c6f544c282e09bbe102f92c9a20a7745bef19da0a35,3.08,2.0,2.93,2.81,2.5,2.97,2.91,3.03,3.42,3.5,12.0,11.0,22.0,16.0,17.0,18.0,16.0,16.0,12.0,9.0,2.9
21fa6fddb78aa1ed6a25b54c57f02fbb448fd7b177fa097e4b9a5fbd63493f8a,2.83,2.64,2.75,2.38,2.25,2.96,3.19,3.31,3.55,4.0,12.0,11.0,22.0,16.0,18.0,13.0,13.0,24.0,19.0,9.0,2.96
224f050ecf0c12003af6c97add32b3544ceb89c6a4f306345af8e9ee36d5ce4b,2.08,3.35,3.32,3.06,3.62,3.15,3.77,3.46,2.0,4.0,12.0,13.0,19.0,16.0,20.0,23.0,22.0,14.0,3.0,12.0,3.32
231e117e801fbb18e60d4f66d945df7f2224aba05e7a5facd3441a28df149ffd,2.0,1.59,2.79,2.53,3.21,2.71,3.21,3.81,3.72,4.0,12.0,11.0,19.0,16.0,21.0,16.0,19.0,18.0,9.0,18.0,3.02
238030cabe902e4102c1d66f82d89fc7cdc976bbe00d88f2ef66f2a46efeed25,1.83,2.08,1.9,2.74,2.86,3.33,3.5,3.53,3.1,4.0,12.0,12.0,12.0,15.0,21.0,24.0,21.0,15.0,5.0,9.0,2.94
